Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
ISLA DE MAIPO;18.051;1.321;1.400;1.327;1.373;1.432;1.383;1.252;1.184;1.267;1.165;1.307;1.058;835;595;493;314;183;104;45;11;2
PADRE HURTADO;31.452;2.622;2.465;2.256;2.343;2.481;2.718;2.543;2.305;2.274;1.993;2.054;1.624;1.227;960;654;503;238;140;34;10;8
PEÑAFLOR;43.944;3.352;3.442;3.364;3.465;3.681;3.498;2.888;2.899;3.241;3.203;2.850;2.383;1.758;1.442;1.057;719;394;205;78;19;6
RANCAGUA;117.942;8.500;9.066;8.597;8.611;8.951;10.090;8.833;8.373;7.899;7.616;7.637;6.693;5.532;4.295;3.128;2.070;1.157;631;203;43;17
CODEGUA;6.510;429;463;476;452;446;509;434;444;447;421;521;446;356;244;179;102;79;45;15;1;1
COINCO;3.729;231;248;226;259;248;262;245;271;213;235;273;265;204;169;142;133;52;27;19;5;2
COLTAUCO;9.806;686;704;685;698;735;713;615;641;630;648;684;667;512;438;301;207;130;88;21;3;0
DOÑIHUE;10.394;710;788;826;738;728;751;712;725;716;713;691;598;568;418;289;204;125;70;19;5;0
GRANEROS;16.634;1.346;1.364;1.275;1.246;1.248;1.266;1.208;1.173;1.150;1.068;1.152;947;699;536;400;271;177;87;19;1;1
LAS CABRAS;12.656;787;909;813;828;803;891;801;848;896;884;1.031;840;710;517;427;289;221;105;39;11;6
MACHALÍ;25.585;2.133;2.319;2.110;1.823;1.394;1.774;1.921;2.242;2.154;1.769;1.567;1.342;1.078;801;522;306;177;107;35;6;5
MALLOA;6.819;423;449;447;488;490;509;375;420;424;474;555;471;379;326;264;157;99;43;20;6;0
MOSTAZAL;12.663;895;957;972;927;925;954;776;851;901;845;858;759;674;488;364;265;148;71;26;3;4
