Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
LA REINA;92.787;5.150;5.688;5.721;6.717;7.225;6.628;5.362;6.177;6.608;6.306;6.482;5.927;4.972;4.159;3.327;2.490;1.739;1.273;599;194;43
LAS CONDES;294.838;16.198;14.685;14.136;18.207;24.467;26.000;23.621;21.076;19.565;18.511;18.461;18.106;15.794;12.413;11.165;8.447;6.293;4.653;2.206;674;160
LO BARNECHEA;105.833;6.995;8.719;8.888;9.412;9.448;7.126;5.299;6.851;7.928;8.214;7.894;6.455;4.578;2.932;2.109;1.217;835;545;257;99;32
LO ESPEJO;98.804;6.545;6.841;6.073;7.010;8.635;8.842;6.605;5.734;5.504;5.964;7.144;7.201;5.140;3.529;2.681;2.046;1.635;1.176;397;85;17
LO PRADO;96.249;5.810;6.009;5.675;6.446;8.090;8.189;6.469;5.817;6.621;6.672;6.569;5.456;4.418;4.194;3.961;2.849;1.688;898;317;74;27
MACUL;116.534;6.739;6.508;6.250;7.127;9.028;10.461;9.357;8.384;7.688;7.299;7.490;7.119;5.956;4.972;4.344;3.250;2.179;1.595;578;184;26
MAIPÚ;521.627;32.203;34.408;34.232;40.003;45.052;44.318;36.293;33.083;33.942;35.536;40.390;36.728;26.429;18.332;12.961;8.067;4.962;3.112;1.144;302;130
ÑUÑOA;208.237;12.165;10.015;8.820;10.546;13.729;18.656;21.935;19.464;15.441;12.350;12.216;12.129;10.362;8.269;6.920;5.283;4.301;3.456;1.602;475;103
PEDRO AGUIRRE CERDA;101.174;6.034;6.289;5.733;6.541;8.215;8.620;6.998;6.020;5.658;5.824;7.344;7.494;6.024;4.340;3.219;2.445;2.024;1.547;625;151;29
PEÑALOLÉN;241.599;15.270;17.205;16.670;18.815;21.128;19.084;14.787;15.636;17.930;18.156;17.357;13.820;10.819;8.527;6.849;4.624;2.671;1.495;565;124;67
PROVIDENCIA;142.079;7.694;5.511;4.539;6.024;10.076;14.854;16.783;14.221;10.848;8.122;7.226;7.189;6.729;5.860;5.107;3.748;3.110;2.509;1.400;428;101
PUDAHUEL;230.293;16.009;16.343;15.653;16.795;19.964;20.112;16.369;15.684;16.117;15.743;17.192;14.460;10.314;7.089;5.199;3.477;2.055;1.177;398;101;42
QUILICURA;210.410;15.051;16.472;16.378;17.494;18.625;18.506;15.666;15.272;16.659;15.960;14.357;11.003;7.523;4.696;3.006;1.777;1.042;605;224;50;44
QUINTA NORMAL;110.026;6.601;6.630;6.045;7.214;9.280;10.211;8.676;7.489;7.612;6.887;7.404;6.503;5.196;4.344;3.499;2.631;1.845;1.308;473;129;49
RECOLETA;157.851;9.780;9.744;8.928;10.352;13.472;14.322;12.394;11.393;10.987;10.112;10.026;8.944;7.582;6.289;5.141;3.722;2.319;1.577;562;156;49
RENCA;147.151;10.837;11.203;10.156;11.128;12.273;12.104;10.537;10.448;10.523;9.416;9.073;8.004;6.713;5.264;4.065;2.547;1.490;919;336;71;44
SAN JOAQUÍN;94.492;5.594;5.493;5.191;6.268;7.863;8.340;6.778;5.836;5.618;5.928;6.615;6.043;4.939;4.083;3.566;2.624;1.798;1.314;443;125;33
SAN MIGUEL;107.954;6.739;5.866;5.310;5.918;7.943;10.640;10.807;8.862;7.474;6.551;6.601;6.443;5.009;3.925;3.239;2.536;1.871;1.440;555;174;51
SAN RAMÓN;82.900;5.457;5.184;5.176;5.972;7.066;6.636;5.030;4.705;5.379;5.818;5.868;4.612;3.885;3.593;3.459;2.396;1.525;761;292;68;18
VITACURA;85.384;5.732;5.081;4.930;5.391;5.759;5.510;5.560;5.983;5.843;5.643;5.272;5.131;4.516;4.028;3.922;2.866;1.916;1.377;681;199;44
PUENTE ALTO;568.106;40.586;42.137;40.066;44.054;49.711;49.027;40.724;37.695;37.587;38.265;42.187;36.781;25.798;16.726;11.189;7.021;4.429;2.785;972;276;90
PIRQUE;26.521;1.824;1.940;1.774;1.893;2.076;2.135;1.765;1.739;1.806;1.844;2.053;1.692;1.303;941;707;454;294;184;78;12;7
SAN JOSÉ DE MAIPO;18.189;1.052;1.075;1.122;1.121;1.302;1.491;1.367;1.443;1.435;1.380;1.298;1.163;937;645;543;350;237;159;51;13;5
COLINA;146.207;13.206;13.638;11.537;11.144;11.064;10.976;10.806;12.596;12.402;10.413;8.480;6.383;4.841;3.427;2.373;1.410;817;453;170;55;16
LAMPA;102.034;9.268;9.342;8.127;7.683;7.618;8.686;9.031;8.747;7.865;6.458;5.575;4.439;3.244;2.235;1.552;989;617;360;142;42;14
TILTIL;19.312;1.408;1.331;1.332;1.457;1.584;1.623;1.431;1.300;1.358;1.271;1.311;1.075;822;714;526;359;235;126;38;9;2
SAN BERNARDO;301.313;22.720;23.683;22.029;24.011;25.474;25.322;21.934;20.619;20.618;20.240;19.031;16.710;12.799;9.460;6.943;4.389;2.791;1.740;603;162;35
BUIN;96.614;7.343;7.451;6.878;7.064;7.351;8.365;7.811;7.358;6.757;6.413;6.120;5.356;3.894;2.895;2.225;1.460;982;580;224;65;22
